키워드,제목,출처,요약,원문링크,발행일(KST),수집시각(KST)
고용노동부,"노동부, 발대식 갖고 중기퇴직연금기금제도 시동…사용자부담금 연간 23만원 지원 - 브릿지경제",브릿지경제,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMickFVX3lxTE5DVGJ5Ml9WMi1wbnhNRnQtUXdVWTJ5dklyaGltUkpXSTcya3NlMkJPR2N4d3JMQnBNa1RpSUh6eW1YNHU2ajVzUnRRVjc1Rm1Oa2FqMW5zbURoY2Rsdkt3RXZaUy1kdE1FM1FzOXZqcTIwZw?oc=5,2026-02-08 20:52,2026-02-09 14:30
고용노동부,안전한 일터 조성 앞장…노동부 경기청 '물류안전보건협의체' 출범 - MSN,MSN,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMitgRBVV95cUxPZFN2MGxQQy14Ny1BdmI4blgzSGs4bTIxTGJlNXU1T0stWVh1Sm9iRXVneUxkWGQ4d1lFTURjOEtma255YWQ4b25qNGxKYW5tMy1hRkdCTnVRWVVweXdFc0hENU9KeG5xQ1RNSUtLdno4VTQ2bmo5bmVZei15aVVnZFBPSk14Z2ZYWXZwZGx6bVlINWZpYjlmNmgwWWdnX2xHRmQtTENmakh4QzdBekRURkgtYVh4d0J4aEs3UmFwbnJid2htVXduWUstOTNYQkNvajVlMzhlamg1LXFSaXhEaEUxb0JEV2MzWUotdzM1NldLTXV6NjlzdEVmSGZ3YndpWG5mbmpRVE5sNnFKcWpWTXdOZ3FBZTRkZk5jaC1YeDNmcnBkWnJQNWdMUUhwWlVudXdBM0FHcHJYZ2dCdHZkRE1lVlhIS2V3S3QzSU9KTkgwUDcyRmw5X25YUGFzN0dwWG85RzBZQ0VDU0VVYzBhcUM4VmFOdi1SSWExd2RfVExSamEtbXNTSHpCZEJJVlh5RkN6WWdHTV9XcE1HZTB1cHlhMGZicHZ1dVlMM3EwTlEwTFRPZVJ1TzFtRjdIQmNFa0lTcy1naHRsdUpYWkVqb0JJek1hQlhZbHI3Y0t0bDROLUVlVEZ4dGhXdE9xYnAyV01mQkctRGVlSzFVNWlocTYyVk8xenM4bGJnSVNQUk9WVk5ZREtIWGlCRC1hU2hQRVVlWXNVMEtpdnZKT0VONjdsN1A4UQ?oc=5,2026-02-08 13:30,2026-02-09 14:30
고용노동부,경상국립대-고용노동부-지역기업 중대재해 예방 협력 구축 - 경남도민신문,경남도민신문,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiaEFVX3lxTE00aGpQTi1BdTFUSnVZMEkyN2xYbjF3N3MtaEphLTlLZktNc0NYeDQ4UGZ2RWVOUzVhOFhfVHBzdFVXbWhyMnNNQTVrakl2UHQtaEpxZE1FVUxUOEJiZ0JyeWpFMi1jU000?oc=5,2026-02-08 07:03,2026-02-09 14:30
고용노동부,"노사정, 퇴직급여 사외적립 의무화·기금형 퇴직연금 활성화 합의 - 마일드경제",마일드경제,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMia0FVX3lxTFBDN1lBUFd0WjBQU0N1VWx0cjFOZzdKTXBrTFA1MklVNXd6dlFvZ3NTLWJ2MG1XN0wzNG1TV2JGSllFTUFVUnRtbmtORDQ5M3BRcEVWaTZpS2Q2clBhQWQxUENmbXp5Tm1pT0hn?oc=5,2026-02-08 09:23,2026-02-09 14:30
고용노동부,'2026년도 산업재해 예방 유공 포상' 후보자 3월 5일까지 접수 - yna.co.kr,yna.co.kr,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiYEFVX3lxTE03azZBQ2ltR2FVTmVQdnJYWFNOQ2tUSENLeDNZTmJvSEVZOGtzR2lUNnFtbmVtZWEwYVV3eG43ZzgyUzJIa3dpbXUwb1R3WHczVVM5aTdvSkh6ekxoTTBGadIBYEFVX3lxTE03azZBQ2ltR2FVTmVQdnJYWFNOQ2tUSENLeDNZTmJvSEVZOGtzR2lUNnFtbmVtZWEwYVV3eG43ZzgyUzJIa3dpbXUwb1R3WHczVVM5aTdvSkh6ekxoTTBGaQ?oc=5,2026-02-08 07:41,2026-02-09 14:30
고용노동부,"‘관봉권 의혹’ 윗선 밝혀질까…특검, 쿠팡-노동부 유착도 확대 - v.daum.net",v.daum.net,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiVEFVX3lxTE12eEZJT3V4dzRYVnhoOWpmQzEycm0tX3ljQU1wMTVEZUstY1hORmJJMWFNYko2ZVJRUnN5VHkxZHBUd2ttWWtWY1pEcHpQNzBVNU1LQQ?oc=5,2026-02-08 06:22,2026-02-09 14:30
고용노동부,산재·임금체불 근절 법안 줄줄이 계류...노동부 종합대책 반년째 제자리 - 아주경제,아주경제,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1Od3hSaEJMalc1Y3NYUmVNa1NVUnZDSm1IUXJpbzNxUG81MG1GVUJiaUh0WXZYNk91bExhdC04eXVkd1lKTzVvb21ZN3pYX19YTUVhOFdwb0Qyd9IBWEFVX3lxTE5EUDNCNkUxNUg4ZXk5MXAzd0NiaE4tLUJuQ19FVEFiQmZYSG9EWkVJbTZMREtIN0RYVmNzV0ltQjlIMTNyTkRvdjk4NHRnVXpQa2hiLXpTbnA?oc=5,2026-02-08 06:51,2026-02-09 14:30
고용노동부,좋은 일자리 창출 '으뜸기업'·유공자' 추천·신청 접수 - 네이트,네이트,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMieEFVX3lxTFBMTHRMMHY3cmFqZ2w4Z0MzRExTX0VPUWpwREU2MUN3UlduVmVWc25QcEdkNVVZdy14aUt5YlVtcUNVVWh4bS04TmtUTDF6bmZ5TUE0LVVBN0dReWNlZTVtQlVjU1dfMWtjN1BHQ2dscVRDRWlRckxFUg?oc=5,2026-02-08 09:11,2026-02-09 14:30
고용노동부,지방공기업도 '안전활동 수준평가' 받는다…노동부 행정예고 - MSN,MSN,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiiANBVV95cUxPcDh2T0NmRUVSTWZEQXpKNkVXNUlNZlktNEtUMERLOG0wZnh1NTRtODV4M1oyTl9xd0ZkUzZ0Mjhya1lJWmNOUVNZYjBlMUdKbUZUZmc4c0lzaGFRZE9ISkFvUVZsLTBGcTR2MlNFQ0VkdVpScXpmUkFVc1NLZHNGMS1HcjJIMVBDZ3JhcUlQamx6eERZZGY0bHZBNHhqOHBXZWp5SmJNMXcwaklFbmlkdTRfeU5IRXJ5NW1ZcEhIeld3ZHFLQnVEdDRRQXBMNWMtX3lXZXdUbHNlcDlFZy1laUhzYXBlRGg0dFdUdTVpd29jd2tvemM0QThhZEkxaFo3ZzdtSGRfMTlZVTNkT1ctYnZWLUIwZUpUSXhWU0x1VmJial9kMWMtaHNhbkttUFU0dzFoQ2pyWXk3OG93NXhIWW95bWN0M3hrcm1pR3l3MVo4ZUF3WTBoWElrWWxwd2dROWNiVXU1cTFFU3pDSzNrRDFNNXpnN09vcTk1RmxocXlCelZYZVREQw?oc=5,2026-02-08 06:22,2026-02-09 14:30
고용노동부,[주간경제일정] 美노동부 1월 고용보고서 발표 예정…실업률에 주목 - SBS Biz,SBS,- 요약을 생성할 수 없습니다.,https://news.google.com/rss/articles/CBMiU0FVX3lxTE12emF1bENhN1RXWE9fN1hTMWVRYUY0R1ZQWUxoWHdMQnlzUXZmanRrZ1FRVHZhanVtelIwY09BQUtVQ2lYU2thMjRGSVZKNzVKZ1F3?oc=5,2026-02-08 20:51,2026-02-09 14:30
